Titre,Auteur,Editeur,auteur_last_name,auteur_first_name
Heure vide (l'),Herbauts Anne,Casterman,Herbauts,Anne
Heureusement,Charlip Rémy,MeMo,Charlip,Rémy
Heu-reux,Voltz Christian,Rouergue,Voltz,Christian
Hibou chez les nounours,Brulet Gilles,Pluie d'étoiles,Brulet,Gilles
"Hier, je t'ai…",Van Hout Mies,Minedition,Van,Hout Mies
Histoire de Babar,Brunhoff Jean de,Hachette,Brunhoff,Jean de
Histoire d'Edouard,Dumas Philippe,Ecole des Loisirs,Dumas,Philippe
Histoire des livres pour enfants,Diament Nic,Bayard jeunesse,Diament,Nic
Histoire des trois oiseaux (l'),Munari Bruno,Seuil,Munari,Bruno
Histoire du bonbon (l'),Vaugelade Anaïs,Ecole des Loisirs,Vaugelade,Anaïs
Histoire du Grand Méchant Poulet,Jonas Anne,Milan jeunesse,Jonas,Anne
Histoire du renard qui n'avait plus toute sa tête (l'),Baltscheit Martin,Rue du monde,Baltscheit,Martin
Histoire sans fin des Mafous et des Ratafous (l'),Sellier Marie,Assoc. Paris-musées,Sellier,Marie
Histoires au téléphone,Rodari Gianni,La joie de lire,Rodari,Gianni
Histoires d'ailleurs et de jamais,Labourdique Jacques,Plume d'Ocris,Labourdique,Jacques
Histoires d'amour,Ben Soussan Patrick,ERES,Ben,Soussan Patrick
Histoires de géants et de cyclopes,Collectif,Milan,Collectif,
Histoires de Huey (les),Cameron Ann,Ecole des Loisirs,Cameron,Ann
Histoires de Marcel (les),Browne Anthony,Ecole des loisirs,Browne,Anthony
Histoires d'ours,Piquemal Michel,SEDRAP jeunesse,Piquemal,Michel
Histoires du soir autour du monde,Collectif,Souchon-Garrigue Hélène,Collectif,
Histoires du soir autour du monde,Collectif,Souchon-Garrigue Hélène,Collectif,
Histoires du soir pour filles rebelles,Farilli Elena,Les Arènes,Farilli,Elena
Histoires minutes,Friot Bernard,Milan,Friot,Bernard
Histoires pressées,Friot Bernard,Milan,Friot,Bernard
"Hiver long, très long (Et froid, très froid)",Jadoul Emile,Ecole des Loisirs,Jadoul,Emile
Homme à l'oreille coupée (l'),Mourlevat Jean Claude,Thierry Magnier,Mourlevat,Jean Claude
Homme de couleur !,Collectif,Bilboquet,Collectif,
Homme qui allumait les étoiles (l'),Clément Claude,Casterman,Clément,Claude
Homme qui ne possédait rien (l'),Mourlevat Jean Claude,Thierry Magnier,Mourlevat,Jean Claude
Hommes en sucre (les),Rodari Gianni,Rue du Monde,Rodari,Gianni
Horloger de l'aube (l'),Heurté Yves,Syros,Heurté,Yves
Horrible petite princesse (l'),Nadja,Ecole des Loisirs,Nadja,
Hôtel Bellevue,Lévy Didier,Sarbacane,Lévy,Didier
Huit saisons et des poussières,Vidal Séverine,Les p'tits bérets,Vidal,Séverine
Hulul,Lobel Arnold,Ecole des loisirs,Lobel,Arnold
Icare et les conquérants du ciel,Collectif,Nathan,Collectif,
Igor et les trois petits cochons,Pennart Geoffroy de,Ecole des Loisirs,Pennart,Geoffroy de
Il était 2 fois dans l'Ouest,Vidal Séverine,Sarbacane,Vidal,Séverine
Il était un petit navire,Deneux Xavier,Milan,Deneux,Xavier
Il était une chaise,Heitz Bruno,Belize,Heitz,Bruno
Il était une fois,Domergue Agnès,Thierry Magnier,Domergue,Agnès
Il était une fois un roi et une rei…,Jalbert Philippe,Seuil jeunesse,Jalbert,Philippe
Il fait nuit,Dorémus Gaétan,Seuil jeunesse,Dorémus,Gaétan
Il faudra,Lenain Thierry,Sarbacane,Lenain,Thierry
Il faut délivrer Gaspard !,Pennart Geoffroy de,Ecole des loisirs,Pennart,Geoffroy de
Il faut savoir dire non,Doray Malika,Ecole des loisirs,Doray,Malika
Il faut une fleur,Rodari Gianni,Rue du Monde,Rodari,Gianni
Il l'a fait,Könnecke Ole,Ecole des Loisirs,Könnecke,Ole
Il me rend chèvre,Willis Jeanne,Milan jeunesse,Willis,Jeanne
Il ne faut pas faire pipi sur son ombre,Kerloc'h Jean-Pierre,Milan Jeunesse,Kerloc'h,Jean-Pierre
Il ne faut pas habiller les animaux,Barrett Judi,Ecole des loisirs,Barrett,Judi
Il neige !,Go Hyejin,Picquier jeunesse,Go,Hyejin
Il pleut des poèmes,Henry Jean-Marie,Rue du monde,Henry,Jean-Marie
Il y a des heures qui durent longtemps,Brami Elisabeth,Thierry Magnier,Brami,Elisabeth
Il y a le monde,Serres Alain,Cheyne,Serres,Alain
Il y a quelqu'un sous mon lit,Riddell Chris,Milan,Riddell,Chris
Il y a un cauchemar dans le grenier,Mayer Mercer,Gallimard Jeunesse,Mayer,Mercer
Il y a un cauchemar dans mon placard,Mayer Mercer,Gallimard jeunesse,Mayer,Mercer
Il y avait une fois,Nadaud Claire,Nathan,Nadaud,Claire
Ile de Ti Jean (l'),Trouillot Evelyne,Dapper,Trouillot,Evelyne
Ile du Monstril (l'),Pommaux Yvan,Ecole des Loisirs,Pommaux,Yvan
Illustrer les livres pour enfants,Salisbury Martin,Eyrolles,Salisbury,Martin
Ils arrivent !,Neeman Sylvie,La joie de lire,Neeman,Sylvie
Images des livres pour la jeunesse,Lorant-Jolly Annick,Thierry Magnier,Lorant-Jolly,Annick
Imagier caché,Joffre Véronique,Thierry Magnier,Joffre,Véronique
Imagier d'Afrique,Attiogbé Magali,Amaterra,Attiogbé,Magali
Imagier des saisons,Pittau Francesco,Les Grandes Personnes,Pittau,Francesco
Imagier mouvementé,Joffre Véronique,Thierry Magnier,Joffre,Véronique
Imagier pour jouer,Estellon Pascale,Les Grandes Personnes,Estellon,Pascale
Imagier toc-toc (l'),Manceau Edouard,Milan,Manceau,Edouard
Imagine,Becker Aaron,Gautier-Languereau,Becker,Aaron
Impressionnisme entrée libre,Sellier Marie,Nathan,Sellier,Marie
Incroyable histoire de Jemmy Button (l'),Uman Jennifer/Vidal V.,Circonflexe,Uman,Jennifer/Vidal V.
Insectes de mon jardin (les),Ruel Adeline,Flammarion,Ruel,Adeline
Introduction à la littérature de jeunesse,Nières-Chevrel Isabelle,Didier jeunesse,Nières-Chevrel,Isabelle
Inuk est amoureux,Norac Carl,Ecole des Loisirs,Norac,Carl
Inventions complètement inventées,Burgaud Pierre Dominique,Gautier-Languereau,Burgaud,Pierre Dominique
Invitation (l'),Pacovska Kveta,Les Grandes Personnes,Pacovska,Kveta
Iota la vache,Mercier Julie,Balivernes,Mercier,Julie
Iris des abysses,Louzon Camille,Minedition,Louzon,Camille
Isidor Suzor,Poitras Anique,Dominique et cie,Poitras,Anique
Itak et la baleine,Chèze Bernard,Seuil,Chèze,Bernard
Ita-Rose,Causse Rolande,Circonflexe,Causse,Rolande
Jaffabules,Coran Pierre,Hachette,Coran,Pierre
J'ai adopté un crocodile,Baum Gilles,Gulf Stream,Baum,Gilles
J'ai grandi ici,Crausaz Anne,MeMo,Crausaz,Anne
J'ai le droit d'être un enfant,Serres Alain,Rue du Monde,Serres,Alain
J'ai mangé mon ami,McKinnon Heidi,La palissade,McKinnon,Heidi
J'ai oublié ma poésie,Serres Alain,Rue du monde,Serres,Alain
J'ai pas dit partez,Poussier Audrey,Ecole des loisirs,Poussier,Audrey
J'ai tué mon prof !,Mosconi Patrick,Syros,Mosconi,Patrick
J'aime la galette,Bourre Martine,Didier jeunesse,Bourre,Martine
J'aime les livres,Browne Anthony,Ecole des Loisirs,Browne,Anthony
"J'aime, j'aime pas",Thévenet Séverine,Rouergue,Thévenet,Séverine
J'aimerais te dire,Friot Bernard,De La Martinière,Friot,Bernard
Jamais,Marc Solal,MØtus,Marc,Solal
Jamais content,De Rockere Geert,Milan Jeunesse,De,Rockere Geert
Jamais de la vie,Brami Elisabeth,Seuil jeunesse,Brami,Elisabeth
Jardin de poèmes enfantins,Stevenson RL,Circé,Stevenson,RL
Jardin des papillons (le),Ug Philippe,Les Grandes Personnes,Ug,Philippe
Jardin du dedans-dehors (le),Mezzalama Chiara,Des Eléphants,Mezzalama,Chiara
J'arrive !,Tullet Hervé,Bayard jeunesse,Tullet,Hervé
Jason et la Toison d'or,Palluy Christine,Milan,Palluy,Christine
Jaune,Pouyet Marc,Plume de carotte,Pouyet,Marc
Java martienne (la),Vian Boris,Atelier du poisson soluble,Vian,Boris
Je cherche un livre pour un enfant,Van der Linden Sophie,Gallimard jeunesse,Van,der Linden Sophie
Je cherche un livre pour un enfant (8-16 ans),Di Mascio Tony,Gallimard jeunesse,Di,Mascio Tony
Je ferai des miracles,Morgenstern Susie,De la Martinière,Morgenstern,Susie
"Je l'attends, je l'attends",Pef,Rue du monde,Pef,
Je mangerais bien un enfant,Donnio Sylviane,Ecole des Loisirs,Donnio,Sylviane
Je m'habille et je me couche,Guettier Bénédicte,Ecole des Loisirs,Guettier,Bénédicte
Je m'habille et… je te croque,Guettier Bénédicte,Ecole des loisirs,Guettier,Bénédicte
Je ne dors jamais,Guillotte Eric,Thierry Magnier,Guillotte,Eric
Je ne m'appelle pas Bernard !,Cantais Claire,Atelier du poisson soluble,Cantais,Claire
Je ne peux pas m'habiller,Angeli May,Bilboquet,Angeli,May
Je ne suis pas comme les autres,Coat Janik,MeMo,Coat,Janik
Je ne suis pas une souris,Ramos Mario,Ecole des Loisirs,Ramos,Mario
Je ne suis plus un bébé,Geffen Yehonatan,Rue du Monde,Geffen,Yehonatan
"Je ne te crains plus, Alycia !",Bayar Michèle,Oskar,Bayar,Michèle
Je redessinerai le ciel bleu dans tes yeux,Mazard Claire,Pocket jeunesse,Mazard,Claire
"Je rêve le monde, assis sur un vieux crocodile",Collectif,Rue du monde,Collectif,
Je suis amoureux d'un tigre,Thiès Paul,Syros Jeunesse,Thiès,Paul
Je suis né tigre,Servant Stéphane,Bilboquet,Servant,Stéphane
Je suis revenu,Pennart Geoffroy de,Ecole des Loisirs,Pennart,Geoffroy de
Je suis un amour,Norac Carl,Ecole des Loisirs,Norac,Carl
Je suis un enfant de partout,Collectif,Rue du monde,Collectif,
Je suis un lion,Louchard Antonin,Seuil jeunesse,Louchard,Antonin
Je t’aime tous les jours,Doray Malika,Didier Jeunesse,Doray,Malika
Je t'aime,Morgenstern Susie,Thierry Magnier,Morgenstern,Susie
Je t'aime du bout du monde,Havette Servane,Le Jasmin,Havette,Servane
"Je t'aime, je t'aime, je t'aime",Friot Bernard,Milan,Friot,Bernard
Je te croquerai,Cousins Lucy,Albin Michel jeunesse,Cousins,Lucy
Je te hais,Morgenstern Susie,Thierry Magnier,Morgenstern,Susie
Je veux être une maman… tout de suite,Cousseau Alex,Ecole des loisirs,Cousseau,Alex
Je veux gagner,Ross Tony,Gallimard jeunesse,Ross,Tony
Je veux grandir,Ross Tony,Gallimard,Ross,Tony
Je veux ma photo dans le journal,Moncomble Gérard,Milan,Moncomble,Gérard
Je veux mon chapeau,Klassen Jon,Milan jeunesse,Klassen,Jon
Je veux qu'on m'aime,Timmers Leo,Milan jeunesse,Timmers,Leo
Je veux un cocodrile !,Monloubou Claire,Amaterra,Monloubou,Claire
Je veux voir la mer,Misslin Sylvie,Ecole des Loisirs,Misslin,Sylvie
Je veux voler,Louchard Antonin,Seuil jeunesse,Louchard,Antonin
Je vous aime,Baron Marc,Bulles de savon,Baron,Marc
Je vous aime tant,Serres Alain,Rue du Monde,Serres,Alain
Je vous écris comme je vous aime,Brami Elisabeth,Calmann-Lévy,Brami,Elisabeth
Jean de la Lune,Ungerer Tomi,Ecole des Loisirs,Ungerer,Tomi
Jean Petit qui danse,Mollet Charlotte,Didier jeunesse,Mollet,Charlotte
"Jean Tardieu, un poète",Tardieu Jean,Gallimard,Tardieu,Jean
Jean Toutou et Marie Pompon,Pennart Geoffroy de,Ecole des Loisirs,Pennart,Geoffroy de
Jeanne et Jean,Solotareff Grégoire,Ecole des loisirs,Solotareff,Grégoire
Jemeil et Jamla,Musa Patricia,Grandir,Musa,Patricia
J'en rêvais depuis longtemps,Tallec Olivier,Actes Sud junior,Tallec,Olivier
Jérôme par cœur,Scotto Thomas,Actes Sud junior,Scotto,Thomas
Jeu de cette famille (le),Agopian Annie,Rouergue,Agopian,Annie
Jeu de piste à Volubilis,Ducos Max,Sarbacane,Ducos,Max
Jeune fille muette (la),Thiry Marie-Eve,Lirabelle,Thiry,Marie-Eve
Jeune homme et l'étoile (le),Gypteau Nadia,Le Sorbier,Gypteau,Nadia
"Jo, le très vilain petit canard",Valckx Catherine,Ecole des loisirs,Valckx,Catherine
Joanie et l'avion qui vole,Mélisou Marie,Lito,Mélisou,Marie
J'observe le cirque,Delafosse Claude,Gallimard Jeunesse,Delafosse,Claude
J'observe les grottes,Delafosse Claude,Gallimard Jeunesse,Delafosse,Claude
Joé le lapin rêvé,Doray Malika,Ecole des Loisirs,Doray,Malika
"John Brown, Rose et le chat de minuit",Wagner Jenny,Il était deux fois,Wagner,Jenny
John Chatterton détective,Pommaux Yvan,Ecole des Loisirs,Pommaux,Yvan
Jojo la mâche,Douzou Olivier,Rouergue,Douzou,Olivier
"Jojo, oiseau de nuit",Heitz Bruno,Circonflexe,Heitz,Bruno
Joker,Morgenstern Susie,Ecole des Loisirs,Morgenstern,Susie
Jolie petite princesse (la),Nadja,Ecole des Loisirs,Nadja,
Jolie Plume et le secret du vent,Sarno Hélène,Flammarion,Sarno,Hélène
Jolis contes de Perrault,Perrault Charles,Fleurus,Perrault,Charles
Joseph avait un petit manteau,Taback Simms,Le Genevrier,Taback,Simms
Jouer aux fantômes,Lévy Didier,Sarbacane,Lévy,Didier
Jouer avec les poètes,Charpentreau Jacques,Hachette,Charpentreau,Jacques
Jouets des champs,Crausaz Anne,MeMo,Crausaz,Anne
Joueur de luth enchanté (le),Diaz Marie,Gautier-Languereau,Diaz,Marie
Jour de pluie,Shulevitz Uri,Autrement,Shulevitz,Uri
Jour du mange-poussin (le),Ponti Claude,Ecole des Loisirs,Ponti,Claude
Jour et la nuit tout autour (le),Safirstein Julie,Hélium,Safirstein,Julie
Jour où j'ai déménagé (le),Hannappe David,Le Trou de nez,Hannappe,David
Jour où la mer a disparu (le),Kanor Fabienne,Albin Michel,Kanor,Fabienne
Jour où le grand chêne est tombé (le),David Gauthier,Thierry Magnier,David,Gauthier
Journal de Boub (le),Brami Elisabeth,Hatier,Brami,Elisabeth
Journal d'un chat assassin,Fine Anne,Ecole des loisirs,Fine,Anne
"Jours, les mois et les saisons (les)",Garralon Claire,MeMo,Garralon,Claire
Jujube,Wilsdorf Anne,Ecole des Loisirs,Wilsdorf,Anne
"Jules, le chevalier agaçant",Pennart Geoffroy de,Ecole des loisirs,Pennart,Geoffroy de
Jungle,Selena Elena,Gallimard jeunesse,Selena,Elena
Jungle Blues,Bialestowski Gérard,Albin Michel jeunesse,Bialestowski,Gérard
Jupes s'étourdissent (les),Lautru Michel,Soc et Foc,Lautru,Michel
Jusqu'en haut,Vast Emilie,MeMo,Vast,Emilie
Kalila et Dimna,Ibn el Muqaffa Abdallah,Albin Michel jeunesse,Ibn,el Muqaffa Abdallah
Kangourou d'Ooz (le),Craipeau Jean-Loup,Nathan,Craipeau,Jean-Loup
Kibwé,Dedieu Thierry,Seuil,Dedieu,Thierry
Kidnapping au village des crottes de nez,Moriceau,Les fourmis rouges,Moriceau,
Kipper,Inkpen Mick,Hachette jeunesse,Inkpen,Mick
Kirikou et la hyène noire,Ocelot Michel,Milan,Ocelot,Michel
Kirikou et la sorcière,Ocelot Michel,Milan,Ocelot,Michel
Kirikou et le buffle aux cornes d'or,Ocelot Michel,Milan,Ocelot,Michel
"Kouaba, le village en sursis",Lalinon Gbado Béatrice,Ruisseaux d'Afrique,Lalinon,Gbado Béatrice
Koulkoul et Molokoloch,Boel Anne Catherine de,Ecole des Loisirs,Boel,Anne Catherine de
Là-bas,Benjelloun Saïd,Réciproques,Benjelloun,Saïd
Laisse rouge (la),Sara,Bilboquet,Sara,
Laissez-moi tranquille...,Bernstein Galia,Nathan,Bernstein,Galia
Lancelot du Lac,Cadot Colin Anne-Marie,Hachette jeunesse,Cadot,Colin Anne-Marie
Langage des contes (le),Elzbieta,Rouergue,Elzbieta,
Lapin loucheur (le),Boujon Claude,Ecole des Loisirs,Boujon,Claude
Lapin mon lapin,Doray Malika,MeMo,Doray,Malika
"Lapin, la nuit et la boîte à biscuits (le)",O'Byrne Nicola,Flammarion,O'Byrne,Nicola
Lapins savent compter (les),Heitz Bruno,Seuil,Heitz,Bruno
Lariette et Catimini,Elzbieta,Ecole des Loisirs,Elzbieta,
Larmes (les),Delacroix Sibylle,Bayard jeunesse,Delacroix,Sibylle
Larmes de crocodile (les),François André,Gallimard Jeunesse,François,André
Laurent tout seul,Vaugelade Anaïs,Ecole des Loisirs,Vaugelade,Anaïs
Légende des gâteaux du Têt (la),Nguyên Viet Chung,L'Harmattan,Nguyên,Viet Chung
Légende du cerf volant (la),Chen Jiang Hong,Ecole des Loisirs,Chen,Jiang Hong
Légende du Chien Noir (la),Pinfold Levi,Little Urban,Pinfold,Levi
Légendes de la mythologie,Cherisey Thérèse de,Larousse,Cherisey,Thérèse de
Légendes des lacs et rivières,Clavel Bernard,Hachette,Clavel,Bernard
Léger comme un flocon,Collectif,Rue du Monde,Collectif,
Leo,Kraus Robert,Ecole des loisirs,Kraus,Robert
Léo Corbeau et Gaspard Renard,Lecaye Olga,Ecole des Loisirs,Lecaye,Olga
Léo et…,Dros Imme,La joie de lire,Dros,Imme
"Léopold, chien de divan",Cali Davide,Sarbacane,Cali,Davide
Lettres à mon cher petit frère qui n'est pas encore né,Kessler Frédéric,Grasset jeunesse,Kessler,Frédéric
Lettres d'amour de 0 à 10,Morgenstern Susie,Ecole des Loisirs,Morgenstern,Susie
Leurs mains,Berchoud Bruno,Cheyne,Berchoud,Bruno
Libellule,Jean Didier,Atelier du poissson soluble,Jean,Didier
Liberté Nounours,Bruel Christian,Etre,Bruel,Christian
Licorne (la),Bourre Martine,Ecole des loisirs,Bourre,Martine
"Lieux de passage, lieux de rêve",Held Jacqueline et Claude,,Held,Jacqueline et Claude
Lila et…,Dros Imme,La joie de lire,Dros,Imme
Lilas,Kebrety Maryam,Atelier du scribe,Kebrety,Maryam
Lilas,Pommaux Yvan,Ecole des Loisirs,Pommaux,Yvan
Lili Plume,Fortier Natali,Albin Michel jeunesse,Fortier,Natali
Lion et la souris (le),Pinkey Jerry,Le Genevrier,Pinkey,Jerry
Lion qui avait mauvaise haleine (le),Barthélémy Mimi,Seuil jeunesse,Barthélémy,Mimi
Lions ne mangent pas de croquettes (les),Bouchard André,Seuil jeunesse,Bouchard,André
Lire avec les tout-petits,Collectif,ERES,Collectif,
Lire Claude Ponti encore et encore,Chenouf Yvanne,Etre,Chenouf,Yvanne
Lire des livres à des bébés,Rateau Dominique,ERES,Rateau,Dominique
Lire et choisir ses albums,Boulaire Cécile,Didier jeunesse,Boulaire,Cécile
Lire l'album,Van Der Linden Sophie,Poisson soluble,Van,Der Linden Sophie
"Lire, est-ce bien sérieux ?",Collectif,bib.municip Paris,Collectif,
Liste des fournitures (la),Morgenstern Susie,Ecole des loisirs,Morgenstern,Susie
Litli,Leblanc Catherine,Où sont les enfants ?,Leblanc,Catherine
Littérature de jeunesse a-t-elle bon goût ? (La),Collectif,ERES,Collectif,
"Littérature de jeunesse, itinéraires... (la)",Escarpit Denise,Magnard,Escarpit,Denise
"Littérature de jeunesse, une littérature de son temps (la)",Collectif,Rouergue,Collectif,
Littérature du grand large,Collectif,Cahiers du CRILJ n° 3,Collectif,
Little Lou,Claverie Jean,Gallimard jeunesse,Claverie,Jean
Little man,Guilloppé Antoine,Gautier-Languereau,Guilloppé,Antoine
Liu Chan et la carpe sacrée,Piquemal Michel,Ricochet,Piquemal,Michel
Liu et l'oiseau,Louis Catherine,Picquier jeunesse,Louis,Catherine
Livre abominable (le),Carlain Noé,Sarbacane,Carlain,Noé
Livre de la lézarde (le),Heurté Yves,Seuil,Heurté,Yves
Livre de Petit Ours (le),Browne Anthony,Ecole des loisirs,Browne,Anthony
"Livre des ""c'est pas moi"" (le)",Bravi Soledad,Ecole des loisirs,Bravi,Soledad
Livre des djinns (le),Khémir Nacer,Syros jeunesse,Khémir,Nacer
Livre des géants ingénus (le),Harrison David,Hoëbeke,Harrison,David
Livre des j'aime (le),Bravi Soledad,Ecole des loisirs,Bravi,Soledad
Livre des moi (le),Serres Alain,Rue du monde,Serres,Alain
Livre des petits pourquoi (le),Roman Ghislaine,Milan jeunesse,Roman,Ghislaine
Livre des peut-être (le),Roman Ghislaine,Milan jeunesse,Roman,Ghislaine
Livre des Si (le),Roman Ghislaine,Milan,Roman,Ghislaine
Livre des terres imaginées (le),Duprat Guillaume,Seuil jeunesse,Duprat,Guillaume
Livre du printemps (le),Berner Rotraut Susanne,La joie de lire,Berner,Rotraut Susanne
Livres en forme de pop-up et Cie,Collectif,Bibliothèque de Toulouse,Collectif,
"Livres, c'est bon pour les bébés (les)",Bonnafé Marie,Hachette,Bonnafé,Marie
Lo - Fou,Buguet Anne,Lo Païs d'Enfance,Buguet,Anne
Longtemps,Clément Claude,Casterman,Clément,Claude
Lou Pilouface. Panique dans le bayou,Place François,Gallimard jeunesse,Place,François
Lou pour toujours,Brami Elisabeth,Seuil jeunesse,Brami,Elisabeth
Louba M'ba,Bernos Clotilde,Le Sablier éditeur,Bernos,Clotilde
Loukoum à la pistache (le),Zarcate Catherine,Syros,Zarcate,Catherine
Loulou,Solotareff Grégoire,Ecole des Loisirs,Solotareff,Grégoire
Loulou à l'école des loups,Solotareff Grégoire,Ecole des loisirs,Solotareff,Grégoire
Loup,Douzou Olivier,Rouergue,Douzou,Olivier
Loup (le),Sara,Thierry Magnier,Sara,
Loup d'Albert (le),Muzo,Ecole des Loisirs,Muzo,
Loup du Louvre (le),Letuffe Anne,Atelier du poisson soluble,Letuffe,Anne
Loup est revenu (le),Pennart Geoffroy de,Ecole des Loisirs,Pennart,Geoffroy de
Loup et la colombe (le),Aceval Nora,Seuil jeunesse,Aceval,Nora
Loup et la petite fille (le),Jaffrennou Yves,Rue du monde,Jaffrennou,Yves
Loup et le chevreau (le),La Fontaine,Alkindi,La,Fontaine
Loup et les sept chevreaux (le),Choux Nathalie,Milan jeunesse,Choux,Nathalie
Loup gris,Robillard Jean-Marie,Milan,Robillard,Jean-Marie
Loup gris et la mouche,Bizouerne Gilles,Didier jeunesse,Bizouerne,Gilles
Loup noir,Guilloppé Antoine,Casterman,Guilloppé,Antoine
Loup qui voulait être un mouton (le),Ramos Mario,Ecole des Loisirs,Ramos,Mario
Loup sentimental (le),Pennart Geoffroy de,Ecole des Loisirs,Pennart,Geoffroy de
Loup vert (le),Gouichoux René,Bayard,Gouichoux,René
Loup y es-tu ?,Mollet Charlotte,Didier jeunesse,Mollet,Charlotte
"Loup, la chèvre et les sept chevreaux (le)",Pennart Geoffroy de,Ecole des Loisirs,Pennart,Geoffroy de
"Loup, loup, y es-tu ?",Ramos Mario,Ecole des loisirs,Ramos,Mario
Loupé !,Voltz Christian,Rouergue,Voltz,Christian
Luchien,Douzou Olivier,Rouergue,Douzou,Olivier
